empathy	distress	essay	emotion	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	fear	sadness	disgust	surprise	anger	neutral	hope	joy	essay_word_count	essay_id	fear_count	anger_count	anticipation_count	trust_count	surprise_count	positive_count	negative_count	sadness_count	disgust_count	joy_count	hope_count	empathy_count	distress_count	empathy_level	distress_level	prompt_bio	prompt_emp	prompt_emo	conversation_id	article_id	speaker_id	speaker_number	split	prompt
6.833333333333333	6.625	The whole article broke my heart. If I got a text message telling me I have 24 hours to leave my home and all the things that I own, I would not know what to do. Of course I would leave with my wife and children because they are the most important things in my life, but it would be hard to know my house is about to get bombed. Also, paying 40 dollars for a kilogram of meat, I could not afford this and I do not live in a war tore country. I hate this for the people.	sadness	1.0	6.0	3.0	37.0	40000.0	7.0	5.5	1.0	6.5	6.0	4.857	2.0	3.429	5.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	100	1805	0.1428571428571428	0.0476190476190476	0.0	0.0476190476190476	0.0952380952380952	0.0952380952380952	0.2857142857142857	0.1904761904761904	0.0952380952380952	0.0	0.0	2.8076429798639464	2.6726193292736924	medium	medium	An essay written by a 37.0 years old black or african american male, with a four year bachelor's degree, with an income of 40000.0$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay are: sadness.						
6.0	6.0	The whole drug topic really makes me sad as I had a mother who I saw unravel from being addicted to pain killers. I do wish they were prescriped less in our society and someone just made stronger doses of ibeuprofen. It is alarming how many people become addicted to these medicines. I thin there should be a something in place like a drug counselor to everyone who is prescribed so they can understand the signs of when it becomes addiction. The bottles should be better made now if children are being able to open them or they dont close all the way maybe a key or locking system can be made up. I have definitly seen way more about heroin overdose in my own suburbia it isnt disciminating agianst anyone it is sad it is ruining peoples lives.	sadness	2.0	3.0	1.0	27.0	25000.0	6.0	6.0	6.0	6.0	6.0	4.0	2.286	3.571	3.714									139	2296	0.1111111111111111	0.0	0.0555555555555555	0.1666666666666666	0.0555555555555555	0.1111111111111111	0.3333333333333333	0.1111111111111111	0.0	0.0555555555555555	0.0	2.7661573858792	2.7282252537977776	medium	medium	An essay written by a 27 years old white female, went to a technical/vocational school, with an income of 25000$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay are: sadness.	418.0	301.0	53.0	2.0	train	"The whole drug topic really makes me sad as I had a mother who I saw unravel from being addicted to pain killers. I do wish they were prescriped less in our society and someone just made stronger doses of ibeuprofen. It is alarming how many people become addicted to these medicines. I thin there should be a something in place like a drug counselor to everyone who is prescribed so they can understand the signs of when it becomes addiction. The bottles should be better made now if children are being able to open them or they dont close all the way maybe a key or locking system can be made up. I have definitly seen way more about heroin overdose in my own suburbia it isnt disciminating agianst anyone it is sad it is ruining peoples lives.""An essay written by a 27 years old white female, with technical/vocational School, with an income of 25000$. The essay expresses high empathy and high distress level. Top emotions expressed by the writer are: negative."""
5.833333333333333	5.75	After reading an article on the consequences of Donald Trump's election, it's clear that Islamophobia has surged. The impact of his extensive judicial appointments has set our country on a downward trajectory, causing long-lasting harm. It is my earnest wish that greater attention is given to the corruption and urgent requirement for a transformative overhaul of American politics during his tenure.	hope	1.0	4.0	1.0	29.0	39000.0	6.0	6.5	1.0	6.0	5.5	5.0	2.286	3.286	4.143	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	61	2257	0.1176470588235294	0.0588235294117647	0.1176470588235294	0.0588235294117647	0.0588235294117647	0.3529411764705882	0.1764705882352941	0.0	0.0588235294117647	0.0	0.0	2.3117200381277523	2.1020599466475893	medium	low	An essay written by a 29.0 years old white male, went to college, with an income of 39000.0$.	The essay expresses medium empathy and low distress levels.	 The top emotions expressed in the essay are: fear.						
6.0	5.25	The fact that we don't take care of our veterans is worse than sad. We have a duty to honor them and take care of them. I'm happy to see so many people speaking out and making issues with PTSD more easy to talk about. We can't keep ignoring these issues and pretending that we just can't do anything for our vets. We need to make sure we take more time to work with each vet and get them the help they not only need but deserve!	anger	2.0	6.0	1.0	46.0	22000.0	6.5	5.5	2.5	5.0	5.0	3.286	2.286	4.857	4.714	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	87	1610	0.0555555555555555	0.1111111111111111	0.1666666666666666	0.2222222222222222	0.0	0.2222222222222222	0.1111111111111111	0.0555555555555555	0.0	0.0555555555555555	0.0666666666666666	2.935924083605717	2.8174668371461675	medium	medium	An essay written by a 46.0 years old white female, with a four year bachelor's degree, with an income of 22000.0$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay are: anger.						
1.5	1.75	It's crazy how many creatures are dying from the river drying up, but it just goes to show you how important water is. I think we often take water for granted in the US (or at least, in parts of the US), so we don't think about how precious it is. It's insane that that one species was almost entirely gone because of it.	surprise	2.0	6.0	1.0	25.0	60000.0	6.0	5.0	2.0	5.0	6.0	4.143	1.714	3.857	3.429	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	64	2161	0.15	0.15	0.05	0.1	0.05	0.15	0.15	0.1	0.05	0.05	0.0833333333333333	2.73813428927202	2.7355373408966583	low	low	An essay written by a 25.0 years old white female, with a four year bachelor's degree, with an income of 60000.0$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: anger.						
6.0	6.0	This article was a little hard to follow as I dont follow or know much about whats going on in the other side of the world. It is so sad to me that a war torn third world country has people living there that are afraid for there lives daily. The humanitarian effort is so noble but so sad they are at the hands of a corrupt governemnt and society. How could a government fail to protect its people and aid workers and let them be brutally attacked and raped at there own hands. Noone should be in a position where the power in the society is evil and able to do what they please with no consequence that is a very scary balance. Something needs to be done to help.	sadness	2.0	3.0	1.0	27.0	25000.0	6.0	6.0	6.0	6.0	6.0	4.0	2.286	3.571	3.714	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	131	1728	0.16	0.04	0.08	0.08	0.04	0.24	0.24	0.04	0.04	0.04	0.0	2.9662714617149524	2.840008237173438	low	low	An essay written by a 27.0 years old white female, went to a technical/vocational school, with an income of 25000.0$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: fear.						
4.833333333333333	1.5	Dear friend,                                                                       I have recently finished reading an article about airstrikes that killed over 40 people and injured many more in Cairo. It is very heartbreaking to hear this news. I feel so bad for the people of the middle east who have to live every day of the their lives scared of missiles and bombs and gunfire.	sadness	1.0	2.0	5.0	29.0	44000.0	5.5	6.0	4.5	6.0	5.0	3.714	3.0	3.429	3.429	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	58	1825	0.1666666666666666	0.0833333333333333	0.0	0.0833333333333333	0.0	0.1666666666666666	0.1666666666666666	0.1666666666666666	0.0833333333333333	0.0833333333333333	0.0	3.268580280444311	3.160264526333157	medium	medium	An essay written by a 29.0 years old asian/pacific islander male, with a high school diploma, with an income of 44000.0$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay are: sadness.						
6.666666666666667	5.625	It would be a hard decision for me to stay or leave my family. I guess at the older age, I would not want to leave my home. It would be bad for your own government and rebel forces fighting making it hard to get food. I would worry if I had to leave my parent of grandparent alone back in war tore country.  I hope the war ends soon.	neutral	1.0	6.0	3.0	37.0	40000.0	7.0	5.5	1.0	6.5	6.0	4.857	2.0	3.429	5.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	70	1982	0.1538461538461538	0.0769230769230769	0.0512820512820512	0.0512820512820512	0.1282051282051282	0.0512820512820512	0.2564102564102564	0.1538461538461538	0.0256410256410256	0.0512820512820512	0.0625	2.91236217326978	2.737298830418223	low	medium	An essay written by a 37.0 years old black or african american male, with a four year bachelor's degree, with an income of 40000.0$.	The essay expresses low empathy and medium distress levels.	 The top emotions expressed in the essay are: sadness.						
2.167	1.875	hopefully you did not go through much reading this particular messade unfortuanetly this happens everyday and people throw vbnlind eyes tro the situation because no one wants to deal with this kind ofstuff but i am presenting this tuff to you so you guys can acknowldge it and be awareof it and be a little more bit educated about stuff liek this and so on	anger	1.0	6.0	2.0	29.0	50000.0	4.5	5.0	4.5	4.5	4.0	3.0	2.4290000000000003	3.0	2.857	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	65	1117	0.0	0.0	0.1	0.2	0.1	0.4	0.0	0.0	0.0	0.2	0.1	2.681292207787783	2.4829112483818885	medium	low	An essay written by a 29.0 years old hispanic or latino male, with a four year bachelor's degree, with an income of 50000.0$.	The essay expresses medium empathy and low distress levels.	 The top emotions expressed in the essay are: joy.						
3.0	1.5	I kind of think this article was written in a tongue-in-cheek manner especially when you read that last line--what a pun! If there is any truth to it, though, what could possible cause these kinds of chemical burns on a shampoo product that should be thoroughly tested when mixed with water in the shower. How could it even happen like that? Is there actual lye in these bottles? I guess we'll find out when the case goes to trial.	surprise	1.0	4.0	1.0	28.0	3500.0	4.0	4.5	1.5	5.5	4.0	4.857	3.143	3.143	4.428999999999999	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	79	1184	0.0909090909090909	0.0	0.0909090909090909	0.1818181818181818	0.0909090909090909	0.2727272727272727	0.0909090909090909	0.0909090909090909	0.0	0.0909090909090909	0.0	2.669869864994944	2.677521962944122	low	low	An essay written by a 28.0 years old white male, went to college, with an income of 3500.0$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: surprise, sadness, joy.						
