empathy	distress	essay	emotion	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	fear	sadness	disgust	surprise	anger	neutral	hope	joy	essay_word_count	essay_id	fear_count	anger_count	anticipation_count	trust_count	surprise_count	positive_count	negative_count	sadness_count	disgust_count	joy_count	hope_count	empathy_count	distress_count	empathy_level	distress_level	prompt_bio	prompt_emp	prompt_emo	conversation_id	article_id	speaker_id	speaker_number	split	prompt
2.0	6.25	Can you believe this happened?  Ughh.  How scary!  I realize that people can be angry with each other, but pushing someone in front of a train??? It is amazing to me that people are so out of control that they can't even handle a verbal dispute with someone.  Its easy, just walk away!  I guess I should stay away from the train platform	surprise	2.0	6.0	1.0	37.0	89000.0	7.0	7.0	7.0	7.0	7.0	4.428999999999999	4.428999999999999	4.0	4.428999999999999	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	63	369	0.0	0.3333333333333333	0.0	0.0	0.1666666666666666	0.0	0.3333333333333333	0.0	0.1666666666666666	0.0	0.0	2.612986777585403	2.6942077557570565	low	medium	An essay written by a 37.0 years old white female, with a four year bachelor's degree, with an income of 89000.0$.	The essay expresses low empathy and medium distress levels.	 The top emotions expressed in the essay are: anger.						
5.167000000000001	4.875	Feelings are deemed appropriate if they fit the current situation. Since individuals want to fit in and be seen as normal, they are constantly working on their feelings in order to fit the situation. Emotion work is more so how people want to feel or how they want other people to see them feel. Feelings are not permanent, but an ongoing thing because people constantly try to bring up, suppress, or manage feelings	neutral	1.0	6.0	3.0	30.0	40000.0	4.0	3.5	4.5	3.5	4.5	3.0	3.429	3.571	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	73	188	0.1	0.1	0.1	0.3	0.0	0.2	0.1	0.1	0.0	0.0	0.0	2.9917231199046785	2.922755860176507	medium	medium	An essay written by a 30.0 years old black or african american male, with a four year bachelor's degree, with an income of 40000.0$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay are: anger, sadness.						
3.5	1.0	Reading an article that is basically on the fear and risk of the Zika Virus and how it is currently an issue. It doesn't affect my fellings at all. It is clearly and issue but they'll make a vaccine for those who don't become immune by way of their own system, then the virus will become resistant to the vaccinations and it will be a never ending up and down cycle that we see all the time. I simply just can't let something like this, despite the risk, affect my feelings and emotions.	fear	1.0	6.0	1.0	50.0	65000.0	7.0	6.5	5.5	7.0	7.0	5.0	1.0	1.286	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93	1312	0.2666666666666666	0.0666666666666666	0.2	0.0666666666666666	0.0	0.0666666666666666	0.3333333333333333	0.0	0.0	0.0	0.0	2.7038600041018377	2.6333603453972283	low	low	An essay written by a 50.0 years old white male, with a four year bachelor's degree, with an income of 65000.0$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: fear.						
3.833	1.375	So the police found this woman wondering the streets in Philadelphia at 1 am with no coat on in the cold. She was in some kind of daze, probably alzheimer's or something. Anyways, their trying to identify her. It would suck to be in that state of mind. Sounds horrible and potentially scary if your cognizant enough.	fear	1.0	4.0	1.0	38.0	17000.0	6.0	6.5	1.0	6.0	4.0	4.0	3.0	4.428999999999999	4.571000000000001	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57	823	0.1333333333333333	0.0666666666666666	0.0	0.2	0.0	0.2	0.2	0.0	0.0666666666666666	0.1333333333333333	0.0	2.6811900376559388	2.7088542148953025	low	low	An essay written by a 38.0 years old white male, went to college, with an income of 17000.0$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: joy.						
3.167	4.0	This is just more violent nonsense from the outrageous middle east.  Honestly, I dont care any longer.  All these people clutching to one religion or another (often just as a mask for their rage) and killing each other out of tribal animus.  It hasnt changed, well, ever.  I dont expect it to change now.  Its hopeless because people are just ignorant, solipsistic apes.  I just cant care any longer about these idiots.  Its horrible and tragic but it's all so preventable.	anger	1.0	6.0	1.0	48.0	40000.0	5.5	6.0	2.5	4.0	3.0	3.286	2.286	3.857	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	81	757	0.1612903225806451	0.1612903225806451	0.032258064516129	0.064516129032258	0.0967741935483871	0.032258064516129	0.2903225806451613	0.064516129032258	0.0967741935483871	0.0	0.0	2.5666606966173457	2.7024161200873857	low	low	An essay written by a 48.0 years old white male, with a four year bachelor's degree, with an income of 40000.0$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: anger.						
3.167	2.75	There has been uprisings in Ethiopia.  Looks like many people aren't happy with the industrialization and foreign investments taking place there.  People had axes and sounded like a pretty serious event that may continue.  Foreign investors are taking notice and may rethink their investments there or in the future.  Really don't think of foreign investments in ethipoia but I guess there is.	neutral	1.0	7.0	1.0	39.0	76000.0	7.0	6.5	6.5	6.0	7.0	4.2860000000000005	1.429	4.143	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	62	1147	0.0	0.0	0.2142857142857142	0.2142857142857142	0.0714285714285714	0.2142857142857142	0.1428571428571428	0.0	0.0	0.1428571428571428	0.2222222222222222	2.3436423019246653	2.197783703755245	low	low	An essay written by a 39.0 years old white male, postgradute or with a professional degree, with an income of 76000.0$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: hope.						
3.5	6.125	Was this really Neo-Nazi fucktards?  Or was this a left-wing attempt to incite minorities and drive them to the polls?  Why are we not past this crap?  Ridiculous.  I love a lot of things about being Southern, but this crap drives me nuts.  Who does this?  Can we bring back the stockade?  Tar and feather?	anger	2.0	6.0	1.0	48.0	60000.0	3.5	6.5	1.0	5.0	2.5	4.143	2.4290000000000003	3.0	3.857	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	55	745	0.0909090909090909	0.0909090909090909	0.1818181818181818	0.0	0.0	0.0909090909090909	0.2727272727272727	0.0	0.1818181818181818	0.0909090909090909	0.0	2.273418219839252	2.133131186701303	medium	low	An essay written by a 48.0 years old white female, with a four year bachelor's degree, with an income of 60000.0$.	The essay expresses medium empathy and low distress levels.	 The top emotions expressed in the essay are: disgust.						
1.167	1.875	I just finished reading an article on about a species of frogs that went extinct. I'm not so worried about the frog. I think there is a natural order of things and someones a species dies off. It did make me think about humans. It made me think about how we preserve our on environments and if we are doing it in a way that will make is sustainable for us. Or will we be extinct some day as well.	neutral	2.0	6.0	1.0	35.0	89000.0	6.0	5.0	2.0	5.5	5.5	3.571	2.714	3.0	2.286	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	80	1497	0.0	0.0	0.0	0.0	0.0	0.25	0.375	0.375	0.0	0.0	0.0	2.8148896758171698	2.617431173938579	low	low	An essay written by a 35.0 years old white female, with a four year bachelor's degree, with an income of 89000.0$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: sadness.						
1.167	3.375	"I can't believe this article that I just read. They are making these allegations of Islamophobia and all kinds of crazy notions of hatred against gays, etc. What do they expect people to think when every time we hear of a bombing, it is a muslim.  Do they expect people to say thank you?  I don't hear any Islamic leaders speaking out against any of the terrorism.  Are we just to sit back and say ""thank you sir, may I have another.""  Not only do I not hear any Islamic leaders speaking out against it, I don't hear any muslim citizens speaking out either.  As to the gay and transgender stuff, I will speak out against whomever I wish.  They have a right to spew their immoral acts all of the place, then I have the right to speak out against their immoral acts which are an affront to almighty God"	surprise	1.0	2.0	1.0	54.0	25000.0	7.0	5.0	3.0	7.0	6.5	3.857	2.0	3.714	4.857	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	151	700	0.1395348837209302	0.1395348837209302	0.0697674418604651	0.0697674418604651	0.0697674418604651	0.0930232558139534	0.1395348837209302	0.1395348837209302	0.1395348837209302	0.0	0.0	2.616099793141454	2.6259879324794837	medium	medium	An essay written by a 54.0 years old white male, with a high school diploma, with an income of 25000.0$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay are: anger, sadness, disgust.						
4.667	6.875	Why can't people just live in peace?  These things happen way too often.  What does killing innocent people do to further an offender's cause?  I can't imagine the panic and terror the attendees must have felt.  It makes me nervous every time I'm in a crowded venue.  You like to think it can't happen to you, but honestly, you just don't know.  We all have such a short time here, we should be able to enjoy it without fear.	fear	2.0	5.0	5.0	40.0	60000.0	6.0	6.0	4.0	6.5	4.5	4.428999999999999	4.143	4.714	4.714	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79	1455	0.1818181818181818	0.0909090909090909	0.2121212121212121	0.0909090909090909	0.0	0.0909090909090909	0.1818181818181818	0.0606060606060606	0.0303030303030303	0.0606060606060606	0.0625	2.284033760680816	2.321368457037864	low	low	An essay written by a 40.0 years old asian/pacific islander female, with a two year associate degree, with an income of 60000.0$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: fear.						
