empathy	distress	essay	emotion	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	fear	sadness	disgust	surprise	anger	neutral	hope	joy	essay_word_count	essay_id	fear_count	anger_count	anticipation_count	trust_count	surprise_count	positive_count	negative_count	sadness_count	disgust_count	joy_count	hope_count	empathy_count	distress_count	empathy_level	distress_level	prompt_bio	prompt_emp	prompt_emo	conversation_id	article_id	speaker_id	speaker_number	split	prompt	emotion_dataset
2.333	3.25	For all the married couples out there, please think twice before you cheat on your beloved spouse. Is it really worth to throw away years of experiences down the drain just to have fun with a random stranger for a night? These celebrity scandals are such a joke, all the times I look on the news and these relationships barely last.	disgust	1.0	6.0	5.0	27.0	70000.0	4.5	3.0	4.0	3.5	3.5	3.571	3.286	3.429	3.714	0	0	1	0	0	0	0	0	61	377	0.0476190476190476	0.0952380952380952	0.0952380952380952	0.0952380952380952	0.0476190476190476	0.1904761904761904	0.1904761904761904	0.0	0.0952380952380952	0.1428571428571428	0.1666666666666666	2.881911976775035	2.7567918457017213	low	low	An essay written by a 27.0 years old asian/pacific islander male, with a four year bachelor's degree, with an income of 70000.0$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: hope.							0
4.0	2.5	Hey buddy. Did you hear about this weird disease that is spreading amongst the frog population? Apparently it's a disease that happens due to people having ponds in their house. I worry what this disease could do to the local population of frogs. Tell anyone who has a pond to becareful with what they are moving in and out of their ponds.	surprise	1.0	6.0	3.0	31.0	34000.0	6.0	6.0	4.0	4.0	6.0	2.571	2.857	3.714	3.714	0	0	0	1	0	0	0	0	62	461	0.1481481481481481	0.1111111111111111	0.074074074074074	0.037037037037037	0.0	0.1111111111111111	0.1851851851851851	0.1481481481481481	0.1481481481481481	0.037037037037037	0.0	2.9714095581957247	2.8373692607480585	medium	low	An essay written by a 31.0 years old black or african american male, with a four year bachelor's degree, with an income of 34000.0$.	The essay expresses medium empathy and low distress levels.	 The top emotions expressed in the essay are: sadness, disgust.							0
5.666666666666667	2.625	While we do think about the human suffering caused by war and poverty, we rarely consider the effects these have on animals. It just makes these situations all the more heartbreaking. When I think about animals in zoos - animals that have been removed from their native lands, only to starve to death. I'm suprised more animal rights groups haven't become involved - really, if all those angry vegans out there spent more time helping animals and less time pontificating to the rest of us, they would do far more good.	sadness	2.0	7.0	1.0	46.0	41000.0	4.5	7.0	3.0	6.0	1.0	4.286	2.857	4.857	5.0	0	1	0	0	0	0	0	0	91	2347	0.1333333333333333	0.1	0.1333333333333333	0.0333333333333333	0.0666666666666666	0.0666666666666666	0.2	0.1	0.1333333333333333	0.0333333333333333	0.0	3.073896685657707	2.910046720197979	medium	low	An essay written by a 46 years old white female, postgradute or with a professional degree, with an income of 41000$.	The essay expresses medium empathy and low distress levels.	 The top emotions expressed in the essay are: disgust.	36.0	58.0	27.0	2.0	train	"While we do think about the human suffering caused by war and poverty, we rarely consider the effects these have on animals. It just makes these situations all the more heartbreaking. When I think about animals in zoos - animals that have been removed from their native lands, only to starve to death. I'm suprised more animal rights groups haven't become involved - really, if all those angry vegans out there spent more time helping animals and less time pontificating to the rest of us, they would do far more good.""An essay written by a 46 years old white female, with postgradute or professional degree, with an income of 41000$. The essay expresses high empathy and low distress level. Top emotions expressed by the writer are: negative."""	1
1.0	1.0	Environmentalism at its core is a racket. The leaders will use whatever methods to tie nature together to guilt you into accepting higher and higher taxes towards cost of living while majority of this money goes towards these non-profit organizations that help them push thier agenda. These environmental groups are only capable of gutting thier own people and will not address the larger oil buyers such as China or any other third world nation that is burning coal. By raising the cost of oil isn't going to stop Saudi Arabia or Russia from pumping oil, its all a racket to control the power supply and tax the people.	neutral	1.0	4.0	5.0	27.0	45000.0	6.0	4.0	4.0	6.0	6.0	3.429	1.571	3.0	3.0	0	0	0	0	0	1	0	0	108	820	0.0	0.0454545454545454	0.0454545454545454	0.1818181818181818	0.0909090909090909	0.1818181818181818	0.1818181818181818	0.0909090909090909	0.0909090909090909	0.0909090909090909	0.0	2.861190685362936	2.84778427910004	low	low	An essay written by a 27.0 years old asian/pacific islander male, went to college, with an income of 45000.0$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: surprise, sadness, disgust, joy.							0
1.3333333333333333	1.0	It's sad that the young woman died.  I feel sad for her family and friends who have lost a loved one.  It does sound kinda like an unnecessary death but I guess she knew the risks when she decided to become a fighter pilot.  It seems like a dangerous profession and like these things could easily happen.  I guess they could easily be avoided just by avoiding this career altogether but anyway.  It is what it is.  Very sad anytime a person dies.	sadness	2.0	7.0	1.0	38.0	42000.0	7.0	3.5	6.5	5.5	6.5	3.429	2.714	2.571	3.857	0	1	0	0	0	0	0	0	83	1695	0.125	0.0416666666666666	0.1666666666666666	0.0416666666666666	0.1666666666666666	0.1666666666666666	0.125	0.0833333333333333	0.0416666666666666	0.0416666666666666	0.0	2.8202902809443944	2.652757191787197	low	medium	An essay written by a 38.0 years old white female, postgradute or with a professional degree, with an income of 42000.0$.	The essay expresses low empathy and medium distress levels.	 The top emotions expressed in the essay are: surprise.							1
4.0	4.0	Rhinos are going extinct, and it s a real shame since they do nothing to harm human life. They are a majestic creature with much to offer. However, they are being killed because of poachers and their horn. The black rhino is almost extinct. Only about five thousand still exist in the world today, and this is a real shame.	disgust	1.0	6.0	1.0	31.0	65000.0	3.5	4.0	4.5	4.0	3.5	3.143	3.143	2.857	3.0	0	0	1	0	0	0	0	0	60	573	0.1379310344827586	0.0	0.0344827586206896	0.1034482758620689	0.0344827586206896	0.1379310344827586	0.2413793103448276	0.1724137931034483	0.1034482758620689	0.0344827586206896	0.1	3.116290687498988	2.897447570566732	medium	medium	An essay written by a 31.0 years old white male, with a four year bachelor's degree, with an income of 65000.0$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay are: sadness.							0
2.833	4.75	So the FBI seems to fail at preventing serious terrorist attacks when they knowingly had a suspect. Their investigations obviously are not thorough enough to always prevent attacks even whey they are forewarned about a specific person. The nightclub attack in Orlando seems like it could have been prevented if the FBI did their job. They had warnings from the killers family and basically a warning from the terrorist himself. With extremist like this guy, when they already had him once, I think more severe tactics are necessary to protect the country and its citizens. I feel like the FBI is just making excuses because they were incompetent and do not seem to take everything as serious as they need too. Our country deserves that!	neutral	1.0	6.0	1.0	31.0	50000.0	6.5	6.5	1.0	5.5	4.0	4.143	1.857	4.857	4.143	0	0	0	0	0	1	0	0	125	798	0.2758620689655172	0.1379310344827586	0.0344827586206896	0.0344827586206896	0.0689655172413793	0.0689655172413793	0.2068965517241379	0.1034482758620689	0.0689655172413793	0.0	0.0	2.7489341081556287	2.7750575351582545	low	medium	An essay written by a 31.0 years old white male, with a four year bachelor's degree, with an income of 50000.0$.	The essay expresses low empathy and medium distress levels.	 The top emotions expressed in the essay are: fear.							0
6.666666666666667	6.5	Living in a war tore country must be horrible. I feel the pain of all the lost. Having air strikes hit your home has to be horrible and seeing love ones buried under what is left from your home is also horrible. I do not wish this on anybody. I hope that the country can find peace and the people can return to a normal life.	hope/sadness	1.0	6.0	3.0	37.0	40000.0	7.0	5.5	1.0	6.5	6.0	4.857	2.0	3.429	5.0	0	1	0	0	0	0	1	0	66	2275	0.1714285714285714	0.1142857142857142	0.0571428571428571	0.0571428571428571	0.0285714285714285	0.0857142857142857	0.2285714285714285	0.0857142857142857	0.0857142857142857	0.0857142857142857	0.1176470588235294	3.2226202707734406	2.990048226801312	medium	low	An essay written by a 37 years old black or african american male, with a four year bachelor's degree, with an income of 40000$.	The essay expresses medium empathy and low distress levels.	 The top emotions expressed in the essay are: fear.	443.0	7.0	30.0	2.0	train	"Living in a war tore country must be horrible. I feel the pain of all the lost. Having air strikes hit your home has to be horrible and seeing love ones buried under what is left from your home is also horrible. I do not wish this on anybody. I hope that the country can find peace and the people can return to a normal life.""An essay written by a 37 years old black or african american male, with four year bachelor's degree, with an income of 40000$. The essay expresses high empathy and high distress level. Top emotions expressed by the writer are: negative."""	1
1.8333333333333333	1.0	It's very tragic what happened to this woman.  It just seems like it was so avoidable.  There were so many warning signs that were ignored where people could have intervened and gotten her the help she needed.  I just think things like this happen too often where people get swept under the rug and professionals and others overlook what should really be treated as major warning signs.  I think lives could be saved if people would be a little more attentive to things like this.  	sadness	2.0	7.0	1.0	38.0	42000.0	7.0	3.5	6.5	5.5	6.5	3.429	2.714	2.571	3.857	0	1	0	0	0	0	0	0	85	1829	0.2857142857142857	0.0	0.1428571428571428	0.1428571428571428	0.0	0.2857142857142857	0.1428571428571428	0.0	0.0	0.0	0.0	2.7802598234630875	2.714851696427175	low	low	An essay written by a 38.0 years old white female, postgradute or with a professional degree, with an income of 42000.0$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: fear.							1
2.333	6.875	so Trump's guy of SCOTUS is anti LGBTQ. he's so far off the mark its insane. wants to outlaw gay sex basically. like, WHO is gonna enforce what happens in someones bedroom? I cant with this adminstration anymore. where will it end? just let people love who they want... crazy homophobes are gonna make america a whole new version of hell	anger	2.0	2.0	1.0	51.0	50000.0	3.5	3.5	2.5	5.5	1.5	3.286	3.714	4.0	4.714	0	0	0	0	1	0	0	0	61	722	0.1739130434782608	0.1739130434782608	0.0434782608695652	0.0434782608695652	0.0	0.1304347826086956	0.217391304347826	0.0869565217391304	0.0434782608695652	0.0869565217391304	0.0	2.327838925729915	2.391206764637304	low	low	An essay written by a 51.0 years old white female, with a high school diploma, with an income of 50000.0$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: anger.							0
