message_id	response_id	article_id	empathy	distress	empathy_bin	distress_bin	essay	emotion	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	essay_word_count	essay_id	fear_count	anger_count	anticipation_count	trust_count	surprise_count	positive_count	negative_count	sadness_count	disgust_count	joy_count	hope_count	empathy_count	distress_count	empathy_level	distress_level	prompt_bio	prompt_emp	prompt_emo	conversation_id	speaker_id	speaker_number	split
R_0e3M54QcgpFMC3v_3	R_0e3M54QcgpFMC3v	239	1.0	1.0	0.0	0.0	I'm glad that they finally put an end to this mans killing spree. I'm not sure why he did what he did but he was obviously mentally ill and wasn't taking his medication. I believe friends had to have been helping him hide otherwise I don't know how he could have hidden so long otherwise. Anyways, incidents like this only makes them try to crack down harder on guns and our rights to bear arms, but this person was clearly mentally ill.	neutral	2	2	3	39	29000	7.0	7.0	5.0	7.0	7.0	4.857	2.143	4.857	4.857	82	713	0.1666666666666666	0.1333333333333333	0.1	0.0333333333333333	0.0333333333333333	0.0666666666666666	0.2	0.1	0.1	0.0666666666666666	0.1666666666666666	2.649848993787957	2.771410582002813	medium	medium	An essay written by a 39 years old black or african american female, with a high school diploma, with an income of 29000$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay are: hope.				
R_1Ed2vTIhJK2Lz4I_4	R_1Ed2vTIhJK2Lz4I	279	4.0	4.0	1.0	1.0	I just read an article about famed basketball star, Scottie Pippen.  Someone thought it was new worthy to make the world aware that he and his wife got into a screaming match and she was afraid.  The truth is, no one but their family knows what's really going on.  His wife could be a very dramatic person.  She could be giving him a hard time.  While domestic violence and emotional abuse should never be tolerated, we should leave people to deal with their own screaming matches.	neutral	5	7	3	34	100000	5.5	4.0	6.0	5.5	5.5	4.0	1.857	2.857	4.143	86	619	0.1219512195121951	0.0975609756097561	0.1219512195121951	0.0975609756097561	0.048780487804878	0.1463414634146341	0.1463414634146341	0.073170731707317	0.073170731707317	0.073170731707317	0.0434782608695652	2.782535823378202	2.7441271461235446	low	medium	An essay written by a 34 years old black or african american female, postgradute or with a professional degree, with an income of 100000$.	The essay expresses low empathy and medium distress levels.	 The top emotions expressed in the essay are: fear, anger.				
		375	6.333333333333333	6.0			People visit a region and all they after is how to maim and deplete the population of an endangered specie. How wicked can human be. It is sad and totally unacceptable. I feel the locals should prevnt people from visiting. They should do more to protect the animals especially the bears from the wicked hands of the visitors.	disgust/sadness	1	7	1	28	165000	6.25	5.75	3.25	6.75	6.0	3.357	2.429	3.2145	3.4285	58	2050	0.25	0.0	0.0	0.0	0.0	0.3333333333333333	0.3333333333333333	0.0833333333333333	0.0	0.0	0.0	3.036371328229329	2.886552250074209	medium	medium	An essay written by a 28 years old female, postgradute or with a professional degree, with an income of 165000$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay are: fear.	162.0	40.0	2.0	train
R_3r1FJDOS5LugQMf_3	R_3r1FJDOS5LugQMf	208	6.667000000000001	6.625	1.0	1.0	Those poor little babies. This is just going to keep happening more and more. The rate of human caused extinctions is going up at a scary rate. I know pandas and polar bears are kind of the face of conservation, but they're not the only cute animals out there. And even the ones that aren't cuties matter! Extinction is such a huge, huge deal.	sadness	2	6	1	26	13000	6.0	7.0	2.0	6.0	5.5	3.714	2.571	4.571000000000001	4.571000000000001	64	391	0.0	0.0	0.1666666666666666	0.25	0.0833333333333333	0.3333333333333333	0.0	0.0	0.0	0.1666666666666666	0.0	2.826661790631544	2.8087324537788065	low	medium	An essay written by a 26 years old white female, with a four year bachelor's degree, with an income of 13000$.	The essay expresses low empathy and medium distress levels.	 The top emotions expressed in the essay are: joy.				
		148	5.166666666666667	2.125			Dear friend,                                                                                                     I have just finished reading an article about an african elephant named Nosey. She has been held captive for 30 years. It is a very heartbreaking story and it makes me very sad to see her treated this way.	sadness	1	2	5	29	44000	5.5	6.0	4.5	6.0	5.0	3.714	3.0	3.429	3.429	41	2297	0.1428571428571428	0.0	0.0	0.1428571428571428	0.0	0.2857142857142857	0.1428571428571428	0.1428571428571428	0.0	0.1428571428571428	0.0	3.2173602086868045	2.9619336826278517	medium	medium	An essay written by a 29 years old female, postgradute or with a professional degree, with an income of 44000$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay are: sadness, joy.	331.0	7.0	1.0	train
		11	3.6666666666666665	3.0			I hate senseless violence like this so much, when the people that are dying aren't even the ones involved in the conflicts and are just minding their own business. Like, these are people just walking home or making bread or getting water for their families and then they're just... gone. It isn't fair.	anger/sadness	2	6	1	25	60000	6.0	5.0	2.0	5.0	6.0	4.143	1.714	3.857	3.429	53	2169	0.1904761904761904	0.1904761904761904	0.0	0.0	0.0476190476190476	0.0476190476190476	0.1904761904761904	0.1904761904761904	0.1428571428571428	0.0	0.0	3.1035102809248403	3.0154706596230176	medium	medium	An essay written by a 25 years old female, postgradute or with a professional degree, with an income of 60000$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay are: anger, sadness.	446.0	13.0	2.0	train
		34	5.833333333333333	6.0			I feel like as humans we should all feel the need to help them out. I think in cases like these were its a country that has very low resources with violence all around there should be some sort of humanitarian aid for the people. I believe very strongly that anything else is just not that good overall.	neutral	1	6	2	32	35000	5.5	5.0	2.0	5.5	4.5	3.429	2.857	2.857	2.714	58	2029	0.0526315789473684	0.0526315789473684	0.1052631578947368	0.1578947368421052	0.1052631578947368	0.2631578947368421	0.0526315789473684	0.0526315789473684	0.0	0.1578947368421052	0.1	2.955933411379689	2.83080533476841	low	low	An essay written by a 32 years old female, postgradute or with a professional degree, with an income of 35000$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: joy.	263.0	19.0	2.0	train
		289	6.833333333333333	1.125			It is nice for her to share her journey with cancer. I like how both of them connected with each other. I know that cancer is a sad thing and I'm happy they she found a way to change how she thinks about herself and thinks about life. It was interesting to see how she thought about her husband during that time.	joy	1	6	3	37	40000	7.0	5.5	1.0	6.5	6.0	4.857	2.0	3.429	5.0	62	2090	0.1379310344827586	0.0689655172413793	0.1724137931034483	0.1034482758620689	0.0	0.1724137931034483	0.0689655172413793	0.0689655172413793	0.0689655172413793	0.1379310344827586	0.1	3.129343994202822	2.7821597684366632	medium	medium	An essay written by a 37 years old female, postgradute or with a professional degree, with an income of 40000$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay are: joy.	43.0	30.0	1.0	train
		73	2.1666666666666665	1.25			I guess I feel sad for any person who feel they do not fix into their marriage. I hope he found what he was looking for with another person. I hope they both find happiness. In the world today marriages do not seem like they are built to last. I think people give up too easily and do not work through the hard times.	hope/neutral	1	6	3	37	40000	7.0	5.5	1.0	6.5	6.0	4.857	2.0	3.429	5.0	64	2423	0.0	0.0	0.1904761904761904	0.1904761904761904	0.1428571428571428	0.238095238095238	0.0	0.0	0.0	0.238095238095238	0.1428571428571428	2.78977312098569	2.631260057435351	low	low	An essay written by a 37 years old female, postgradute or with a professional degree, with an income of 40000$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay are: joy.	132.0	30.0	1.0	train
		289	4.5	4.375			I feel very bad for this person. I know I have seen people go through cancer and it is always sad as it just seems to tear them apart so quickly. This person is clearly strong and has an abundance of support so I wish them the best in their fight. Besides that, I wish they can find a cure for this soon. 	sadness	1	2	2	20	36000	6.0	6.0	3.0	2.5	5.5	2.429	1.714	2.857	1.429	63	2328	0.1578947368421052	0.1578947368421052	0.0526315789473684	0.0526315789473684	0.0	0.0526315789473684	0.2105263157894736	0.1052631578947368	0.1578947368421052	0.0526315789473684	0.1428571428571428	2.9698468713564643	2.76589682080106	medium	medium	An essay written by a 20 years old female, postgradute or with a professional degree, with an income of 36000$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay are: anger, disgust.	42.0	56.0	1.0	train
