conversation_id	article_id	essay	empathy	distress	speaker_id	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	speaker_number	split	essay_id	emotion	anger_count	disgust_count	fear_count	joy_count	sadness_count	surprise_count	hope_count	empathy_count	distress_count	prompt
193	313	It's so sad the turning event of Immigrants status on their affairs and protection. After reading an article on the latest happening in Germany. the well known home for immigrants now going tough I feel remorse and deep pain for those who really need Sanctuaries which Germany was well known to offer before. Hopefully things will turn around	6.333333333333333	6.125	36	1	7	1	46	150000	3.5	4.0	4.0	5.0	3.0	3.286	3.857	3.0	2.857	2	train	692	Hope/Sadness	6.896551724137932	3.4482758620689657	10.344827586206897	5.172413793103448	15.517241379310343	3.4482758620689657	0	8.22057660919987	7.137114746012828	"It's so sad the turning event of Immigrants status on their affairs and protection. After reading an article on the latest happening in Germany. the well known home for immigrants now going tough I feel remorse and deep pain for those who really need Sanctuaries which Germany was well known to offer before. Hopefully things will turn around""An essay written by a 46 years old white male, with postgradute or professional degree, with an income of 150000$. The essay expresses high empathy and high distress level. Top emotions expressed by the writer are: positive, negative, sadness."""
340	223	I feel bad for the mother and her two daughters that died in the accident. I'm a person that worries and being in a trailer would have me worrying. It is very sad that their life were cut short because they wanted to enjoy sometime together and go for a ride on Halloween.  I hope that the other people involved in the crash find peace.	6.5	2.875	30	1	6	3	37	40000	7.0	5.5	1.0	6.5	6.0	4.857	2.0	3.429	5.0	2	train	839	Hope/Sadness	9.23076923076923	7.692307692307692	18.46153846153846	15.384615384615383	24.615384615384613	12.307692307692308	0	6.851256590735521	6.467712653805707	"I feel bad for the mother and her two daughters that died in the accident. I'm a person that worries and being in a trailer would have me worrying. It is very sad that their life were cut short because they wanted to enjoy sometime together and go for a ride on Halloween.  I hope that the other people involved in the crash find peace.""An essay written by a 37 years old black or african american male, with four year bachelor's degree, with an income of 40000$. The essay expresses high empathy and low distress level. Top emotions expressed by the writer are: negative, sadness, anticipation."""
392	270	I feel so bad for the victims and the victims families. They were just doing there job and this careless explosion cause them to lose there lives. It is sad that they know how deadly and unsafe these worker conditions are but still have yet to close them. I am happy they are set to close around 1,000 but i think more has to be done. There should be a council and regulations set up like osha in the us to protect workers and make sure all precautions are being done to preserve human life. Now families are left without there sons fathers and incomes when they could have easily just shut this down. I hope for safer woring conditions in the future.	6.0	6.0	53	2	3	1	27	25000	6.0	6.0	6.0	6.0	6.0	4.0	2.286	3.571	3.714	2	train	891	Hope/Sadness	8.94308943089431	8.130081300813009	10.56910569105691	9.75609756097561	9.75609756097561	8.130081300813009	0	3.7627967008730394	3.6065060586707474	"I feel so bad for the victims and the victims families. They were just doing there job and this careless explosion cause them to lose there lives. It is sad that they know how deadly and unsafe these worker conditions are but still have yet to close them. I am happy they are set to close around 1,000 but i think more has to be done. There should be a council and regulations set up like osha in the us to protect workers and make sure all precautions are being done to preserve human life. Now families are left without there sons fathers and incomes when they could have easily just shut this down. I hope for safer woring conditions in the future.""An essay written by a 27 years old white female, with technical/vocational School, with an income of 25000$. The essay expresses high empathy and high distress level. Top emotions expressed by the writer are: positive."""
304	347	One of the biggest fears of a parent, is that they die and can not protect their children especially when they are young, like the children in the article.  The mother has a lot of faith in her child to leave her by herself at the age of 12. It is a sad reminder that some people do not get a childhood and life is very hard. I hope they all get the food that they need.	6.666666666666667	6.375	30	1	6	3	37	40000	7.0	5.5	1.0	6.5	6.0	4.857	2.0	3.429	5.0	2	train	803	Hope/Sadness	2.5974025974025974	1.2987012987012987	3.896103896103896	19.48051948051948	10.38961038961039	6.493506493506493	0	6.110431849196386	5.607771119323451	"One of the biggest fears of a parent, is that they die and can not protect their children especially when they are young, like the children in the article.  The mother has a lot of faith in her child to leave her by herself at the age of 12. It is a sad reminder that some people do not get a childhood and life is very hard. I hope they all get the food that they need.""An essay written by a 37 years old black or african american male, with four year bachelor's degree, with an income of 40000$. The essay expresses high empathy and high distress level. Top emotions expressed by the writer are: positive."""
263	34	I feel sorry for the people living in that region. I hate that children have to go through that and have a life of war and no hope. I hope the UN helps the people with root of the problem and helps them get jobs,food, shelter, and healthcare. I hope the European countries allow some of the people to stay to take the pressure off their home countries.	6.666666666666667	6.625	30	1	6	3	37	40000	7.0	5.5	1.0	6.5	6.0	4.857	2.0	3.429	5.0	1	train	262	Hope/Sadness	4.411764705882352	4.411764705882352	10.294117647058822	14.705882352941176	7.352941176470588	10.294117647058822	0	6.668359060534667	6.151026669928303	"I feel sorry for the people living in that region. I hate that children have to go through that and have a life of war and no hope. I hope the UN helps the people with root of the problem and helps them get jobs,food, shelter, and healthcare. I hope the European countries allow some of the people to stay to take the pressure off their home countries.""An essay written by a 37 years old black or african american male, with four year bachelor's degree, with an income of 40000$. The essay expresses high empathy and high distress level. Top emotions expressed by the writer are: trust, positive."""
405	92	After reading the article, you just can't help but feel really sad for the boy and his family. It's so sad because he was just doing his family a favor by harvesting crops when he fell. It's so unfortunate as well because he was so young and he had his whole life ahead of him. Hopefully his parents are able to move on with life peacefully.	1.0	1.5	17	1	6	1	29	85000	6.75	6.75	6.75	6.75	7.0	4.643	2.0715	4.143	4.643	2	train	904	Hope/Sadness	1.5151515151515151	1.5151515151515151	1.5151515151515151	9.09090909090909	10.606060606060606	6.0606060606060606	0	7.345157378678832	6.737438007563446	"After reading the article, you just can't help but feel really sad for the boy and his family. It's so sad because he was just doing his family a favor by harvesting crops when he fell. It's so unfortunate as well because he was so young and he had his whole life ahead of him. Hopefully his parents are able to move on with life peacefully.""An essay written by a 29 years old white male, with four year bachelor's degree, with an income of 85000$. The essay expresses low empathy and low distress level. Top emotions expressed by the writer are: positive, negative."""
430	397	This was sad and I hope they can do something about it.  I hate that the wildlife is suffering since it is so innocent.  Maybe the government should make more efforts to fix this situation or at least improve it.  I get that it takes resources to do things but maybe they could find some small way to make a difference.  It seems like the ecosystem is in serious danger if nothing is done so someone needs to act fast for the sake of the animals who are helpless victims of this situation.	1.5	1.0	24	2	7	1	38	42000	7.0	3.5	6.5	5.5	6.5	3.429	2.714	2.571	3.857	2	train	929	Hope/Sadness	3.225806451612903	5.376344086021505	11.827956989247312	8.602150537634408	11.827956989247312	4.301075268817204	0	4.611560883832971	4.45472729021918	"This was sad and I hope they can do something about it.  I hate that the wildlife is suffering since it is so innocent.  Maybe the government should make more efforts to fix this situation or at least improve it.  I get that it takes resources to do things but maybe they could find some small way to make a difference.  It seems like the ecosystem is in serious danger if nothing is done so someone needs to act fast for the sake of the animals who are helpless victims of this situation.""An essay written by a 38 years old white female, with postgradute or professional degree, with an income of 42000$. The essay expresses low empathy and low distress level. Top emotions expressed by the writer are: negative."""
308	48	This is a very heartbreaking article. It's hard to read what is happening to people in other parts of the world. I can't believe people would leave their parents and elderly family members behind in a war. It's unimaginable. And to make matters worse, there is hardly any food for them in their homes. They're under constant attack and can't even get basic medications that we take for granted every day here in the US. I truly hope the wars stop and these people can get some assistance rebuilding their lives and homes. More effort needs to go into donating to the charities that help in these areas. I can understand why some would not want to travel and live there, considering there is a high probability of death from an airstrike but the people should at least have basic food items, clothing 	3.5	5.5	38	2	6	1	35	148000	6.5	2.5	1.0	4.5	4.0	4.571	2.0	1.857	4.0	1	train	307	Hope/Sadness	2.797202797202797	2.097902097902098	6.293706293706294	6.993006993006993	6.293706293706294	6.293706293706294	0	3.195354509159751	2.965322146515992	"This is a very heartbreaking article. It's hard to read what is happening to people in other parts of the world. I can't believe people would leave their parents and elderly family members behind in a war. It's unimaginable. And to make matters worse, there is hardly any food for them in their homes. They're under constant attack and can't even get basic medications that we take for granted every day here in the US. I truly hope the wars stop and these people can get some assistance rebuilding their lives and homes. More effort needs to go into donating to the charities that help in these areas. I can understand why some would not want to travel and live there, considering there is a high probability of death from an airstrike but the people should at least have basic food items, clothing ""An essay written by a 35 years old white female, with four year bachelor's degree, with an income of 148000$. The essay not expresses empathy and high distress level. Top emotions expressed by the writer are: positive."""
2	35	It breaks my heart to see people living in those conditions. I hope that all the aid that was sent to the island makes it to the people who need it the most. I do not know what I would do it that was my family and I. I would hope that I would do my best, but I can see how depressing and hopeless you could feel having your whole life changed because of a storm and not knowing where your next meal is coming from.	6.833333333333333	6.625	30	1	6	3	37	40000	7.0	5.5	1.0	6.5	6.0	4.857	2.0	3.429	5.0	1	train	1	Hope/Sadness	5.747126436781609	4.597701149425287	5.747126436781609	5.747126436781609	5.747126436781609	6.896551724137932	0	5.152506886110115	4.683570060194432	"It breaks my heart to see people living in those conditions. I hope that all the aid that was sent to the island makes it to the people who need it the most. I do not know what I would do it that was my family and I. I would hope that I would do my best, but I can see how depressing and hopeless you could feel having your whole life changed because of a storm and not knowing where your next meal is coming from.""An essay written by a 37 years old black or african american male, with four year bachelor's degree, with an income of 40000$. The essay expresses high empathy and high distress level. Top emotions expressed by the writer are: positive."""
192	313	It hurts my heart to think about all the people who leave the place of their birth only not to find a home that they are looking for. I would love to see the day were people treat all other humans like people no matter how they look and where they are from. I wonder why people can not relate to other people and just help.	5.666666666666667	5.375	30	1	6	3	37	40000	7.0	5.5	1.0	6.5	6.0	4.857	2.0	3.429	5.0	1	train	191	Hope/Sadness	4.545454545454545	4.545454545454545	7.575757575757575	15.15151515151515	9.09090909090909	9.09090909090909	0	6.759370689976167	6.316904461111251	"It hurts my heart to think about all the people who leave the place of their birth only not to find a home that they are looking for. I would love to see the day were people treat all other humans like people no matter how they look and where they are from. I wonder why people can not relate to other people and just help.""An essay written by a 37 years old black or african american male, with four year bachelor's degree, with an income of 40000$. The essay expresses high empathy and high distress level. Top emotions expressed by the writer are: positive, joy."""
